pH,PFOA_anion_percent,PFOA_neutral_percent
0.0,0.015846,99.984154
0.1,0.019949,99.980051
0.2,0.025113,99.974887
0.3,0.031613,99.968387
0.4,0.039795,99.960205
0.5,0.050094,99.949906
0.6,0.063056,99.936944
0.7,0.079370,99.920630
0.8,0.099900,99.900100
0.9,0.125734,99.874266
1.0,0.158239,99.841761
1.1,0.199129,99.800871
1.2,0.250559,99.749441
1.3,0.315231,99.684769
1.4,0.396529,99.603471
1.5,0.498688,99.501312
1.6,0.627001,99.372999
1.7,0.788068,99.211932
1.8,0.990099,99.009901
1.9,1.243274,98.756726
2.0,1.560166,98.439834
2.1,1.956230,98.043770
2.2,2.450337,97.549663
2.3,3.065343,96.934657
2.4,3.828650,96.171350
2.5,4.772672,95.227328
2.6,5.935094,94.064906
2.7,7.358756,92.641244
2.8,9.090909,90.909091
2.9,11.181577,88.818423
3.0,13.680689,86.319311
3.1,16.633753,83.366247
3.2,20.076001,79.923999
3.3,24.025307,75.974693
3.4,28.474725,71.525275
3.5,33.386058,66.613942
3.6,38.686318,61.313682
3.7,44.268837,55.731163
3.8,50.000000,50.000000
3.9,55.731163,44.268837
4.0,61.313682,38.686318
4.1,66.613942,33.386058
4.2,71.525275,28.474725
4.3,75.974693,24.025307
4.4,79.923999,20.076001
4.5,83.366247,16.633753
4.6,86.319311,13.680689
4.7,88.818423,11.181577
4.8,90.909091,9.090909
4.9,92.641244,7.358756
5.0,94.064906,5.935094
5.1,95.227328,4.772672
5.2,96.171350,3.828650
5.3,96.934657,3.065343
5.4,97.549663,2.450337
5.5,98.043770,1.956230
5.6,98.439834,1.560166
5.7,98.756726,1.243274
5.8,99.009901,0.990099
5.9,99.211932,0.788068
6.0,99.372999,0.627001
6.1,99.501312,0.498688
6.2,99.603471,0.396529
6.3,99.684769,0.315231
6.4,99.749441,0.250559
6.5,99.800871,0.199129
6.6,99.841761,0.158239
6.7,99.874266,0.125734
6.8,99.900100,0.099900
6.9,99.920630,0.079370
7.0,99.936944,0.063056
7.1,99.949906,0.050094
7.2,99.960205,0.039795
7.3,99.968387,0.031613
7.4,99.974887,0.025113
7.5,99.980051,0.019949
7.6,99.984154,0.015846
7.7,99.987412,0.012588
7.8,99.990001,0.009999
7.9,99.992057,0.007943
8.0,99.993691,0.006309
8.1,99.994988,0.005012
8.2,99.996019,0.003981
8.3,99.996838,0.003162
8.4,99.997488,0.002512
8.5,99.998005,0.001995
8.6,99.998415,0.001585
8.7,99.998741,0.001259
8.8,99.999000,0.001000
8.9,99.999206,0.000794
9.0,99.999369,0.000631
9.1,99.999499,0.000501
9.2,99.999602,0.000398
9.3,99.999684,0.000316
9.4,99.999749,0.000251
9.5,99.999800,0.000200
9.6,99.999842,0.000158
9.7,99.999874,0.000126
9.8,99.999900,0.000100
9.9,99.999921,0.000079
10.0,99.999937,0.000063
